Fecha,Visita,Local,Apuesta_A,Cuota,Casa_Apuestas,Inversion_COP,Ganancia_Potencial_COP,Prob_IA_%,Estado,Beneficio_Neto
2026-04-12,New York Yankees,Tampa Bay Rays,New York Yankees,2.7,BetRivers,767.35,1304.5,46.7,Pendiente,0.0
2026-04-12,Washington Nationals,Milwaukee Brewers,Washington Nationals,2.55,BetRivers,615.6500244140625,954.260009765625,46.70000076293945,Pendiente,0.0
2026-04-12,Cleveland Guardians,Atlanta Braves,Atlanta Braves,2.2,BetRivers,719.1699829101562,863.0,53.29999923706055,Pendiente,0.0
2026-04-12,San Francisco Giants,Baltimore Orioles,Baltimore Orioles,2.1,BetRivers,542.27001953125,596.5,53.29999923706055,Pendiente,0.0
2026-04-12,Texas Rangers,Los Angeles Dodgers,Texas Rangers,2.6,BetRivers,669.3800048828125,1071.010009765625,46.70000076293945,Pendiente,0.0
2026-04-12,New York Yankees,Tampa Bay Rays,Tampa Bay Rays,2.19,DraftKings,702.8200073242188,836.3599853515625,53.29999923706055,Pendiente,0.0
2026-04-12,Athletics,New York Mets,Athletics,2.5,FanDuel,558.3300170898438,837.5,46.70000076293945,Pendiente,0.0
2026-04-12,Miami Marlins,Detroit Tigers,Miami Marlins,2.76,FanDuel,820.7999877929688,1444.6099853515625,46.70000076293945,Pendiente,0.0
2026-04-12,Chicago White Sox,Kansas City Royals,Chicago White Sox,2.54,FanDuel,604.47998046875,930.9000244140624,46.70000076293945,Pendiente,0.0
2026-04-12,Colorado Rockies,San Diego Padres,Colorado Rockies,2.9,FanDuel,932.3699951171876,1771.5,46.70000076293945,Pendiente,0.0
2026-04-12,Cleveland Guardians,Atlanta Braves,Cleveland Guardians,2.6,FanDuel,669.3800048828125,1071.010009765625,46.70000076293945,Pendiente,0.0
2026-04-12,Houston Astros,Seattle Mariners,Houston Astros,13.71,Pinnacle,1000.0,12710.0,46.70000076293945,Pendiente,0.0
2026-04-12,Texas Rangers,Los Angeles Dodgers,Los Angeles Dodgers,3.3,Unibet (NL),1000.0,2300.0,53.29999923706055,Pendiente,0.0
2026-04-12,Boston Red Sox,Minnesota Twins,Minnesota Twins,2.25,Unibet (FR),797.0,996.25,53.29999923706055,Pendiente,0.0
2026-04-26,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,53.29999923706055,Pendiente,0.0
2026-04-26,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,53.29999923706055,Pendiente,0.0
2026-04-26,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,53.29999923706055,Pendiente,0.0
2026-04-26,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,46.70000076293945,Pendiente,0.0
2026-04-26,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,53.29999923706055,Pendiente,0.0
2026-04-27,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-04-27,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-04-27,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-04-27,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-04-27,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-04-28,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-04-28,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-04-28,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-04-28,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-04-28,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-04-29,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-04-29,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-04-29,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-04-29,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-04-29,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-04-30,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-04-30,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-04-30,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-04-30,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-04-30,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-01,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-01,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-01,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-01,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-01,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-02,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-02,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-02,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-02,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-02,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-03,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-03,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-03,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-03,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-03,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-04,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-04,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-04,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-04,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-04,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
